,F1-FN,,IC.tstat,IC.sd,,,,,,,,,,,
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW33)",5.97,0.09,3.06,0.08,2.81,1.67,1.05,0.15,0.02,-0.33,-0.97,-1.11,-0.92,-3.25,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW33)",5.97,0.09,3.06,0.08,2.81,1.67,1.05,0.15,0.02,-0.33,-0.97,-1.11,-0.92,-3.25,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW33)",5.37,0.08,2.86,0.08,2.72,1.90,0.36,0.21,0.20,-0.52,-0.85,-1.15,-1.00,-2.75,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW33)",5.37,0.08,2.86,0.08,2.72,1.90,0.36,0.21,0.20,-0.52,-0.85,-1.15,-1.00,-2.75,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW33,ROW36)",5.89,0.09,3.25,0.08,2.71,2.04,0.75,0.35,0.08,-0.13,-0.50,-1.16,-1.71,-3.30,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW33,ROW36)",5.89,0.09,3.25,0.08,2.71,2.04,0.75,0.35,0.08,-0.13,-0.50,-1.16,-1.71,-3.30,#N/A
EBITDA/EV,4.36,0.08,2.27,0.10,2.68,1.89,1.14,0.42,0.79,0.09,0.09,-0.57,-1.78,-2.13,-1.02
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW33,ROW36)",5.44,0.09,3.05,0.08,2.67,2.19,0.45,0.14,0.10,-0.16,-0.54,-1.31,-1.50,-2.92,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW33,ROW36)",5.44,0.09,3.05,0.08,2.67,2.19,0.45,0.14,0.10,-0.16,-0.54,-1.31,-1.50,-2.92,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW26,ROW36)",5.92,0.10,3.38,0.08,2.45,2.15,0.53,0.99,0.20,-0.20,-0.47,-1.29,-1.67,-3.55,0.69
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW26,ROW36)",5.92,0.10,3.38,0.08,2.45,2.15,0.53,0.99,0.20,-0.20,-0.47,-1.29,-1.67,-3.55,0.69
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW26)",5.56,0.09,3.10,0.08,2.45,1.97,0.94,0.71,0.09,-0.21,-1.17,-1.09,-0.96,-3.18,-0.81
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW26)",5.56,0.09,3.10,0.08,2.45,1.97,0.94,0.71,0.09,-0.21,-1.17,-1.09,-0.96,-3.18,-0.81
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW24,ROW36)",5.89,0.10,3.50,0.09,2.40,2.15,1.02,0.87,-0.06,-0.06,-0.80,-0.82,-1.95,-3.62,-1.05
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW36)",5.89,0.10,3.50,0.09,2.40,2.15,1.02,0.87,-0.06,-0.06,-0.80,-0.82,-1.95,-3.62,-1.05
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21)",5.27,0.09,3.16,0.08,2.37,1.77,1.06,0.96,0.18,-0.36,-1.14,-0.97,-1.38,-2.97,-0.81
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24)",5.27,0.09,3.16,0.08,2.37,1.77,1.06,0.96,0.18,-0.36,-1.14,-0.97,-1.38,-2.97,-0.81
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24,ROW36)",5.58,0.10,3.42,0.08,2.29,1.96,1.09,0.59,0.84,-0.14,-1.32,-0.73,-2.04,-3.40,0.69
