Factor,F1-FN,IC,IC.T-Stat,IC.Dev,1,2,3,4,5,6,7,8,9,10,NA
IQS Rank,3.83714,0.06796,2.09508,0.07693,3.32341,1.04483,-1.18359,-1.57347,-1.61653,-2.59246,-2.18885,-1.07058,-1.25396,-0.74150,0.01227
IQS Decile,5.41144,0.09098,2.48016,0.10062,4.79740,2.10631,1.60672,0.38784,0.85069,-0.62272,1.45965,1.27388,0.59980,-0.88917,-3.36789
AFG Investment Grade,2.19512,0.05321,1.69716,0.05334,1.10621,-0.18483,-0.80892,-1.01971,-1.18321,#N/A,#N/A,#N/A,#N/A,#N/A,-0.80873
AFG CO Grade Scaled,2.05781,0.05505,1.76274,0.06065,1.20816,-0.14662,-1.13687,-0.95728,-0.97276,#N/A,#N/A,#N/A,#N/A,#N/A,-0.80873
% Tgt Average,4.08549,0.07750,2.37133,0.05773,3.31354,0.34284,-0.64751,-1.60925,-1.20602,-0.66086,-2.23065,-2.58681,-1.73860,-0.87056,-0.24335
% Tgt +0,1.29726,0.10145,3.30813,0.08477,2.32299,1.98895,0.35312,-0.55860,-1.54368,-1.65818,-2.28666,-2.85295,-1.12919,0.50558,-1.35531
% Tgt +3 SectRank,2.28211,0.06615,2.12411,0.05250,1.14803,0.84632,-0.02702,0.26556,0.03406,-0.78708,-1.14982,-2.53375,-1.34154,-1.21688,-1.27472
Fin Sust,3.21785,0.03266,0.78105,0.09025,1.94241,0.66213,1.12700,1.28923,0.66091,0.29913,-0.01675,0.63596,-1.64346,-1.43571,-1.49488
RONA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.50705
Economic Margin Momentum,1.68103,0.01495,0.48450,0.06705,1.53714,-1.04286,-0.48965,-1.03318,-0.29935,#N/A,#N/A,#N/A,#N/A,#N/A,-1.10159
Earnings Quality Decile,-0.84273,0.02461,0.55478,0.09811,-0.97227,-0.67503,0.29073,-0.23529,-0.78500,-0.61726,-1.75114,-1.35755,-0.35947,-0.53491,-0.37999
