Factor,Return,IC,T-Stat,Dev,1,2,3,4,5,6,7,8,9,10,NA,Available,Average,Std. Dev.,Low,High
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW30,ROW36)",3.13,0.0764,1.5830,0.0952,1.6551,0.70,-0.03,0.04,0.71,0.54,-0.01,0.23,-1.24,-1.72,#N/A,100.00,42.85,2.20,1.00,100.00
% Tgt +0,1.22,0.0524,0.9621,0.0898,1.5869,1.26,0.27,0.71,-0.23,0.28,1.29,0.69,-1.03,0.12,-1.72,77.58,"11,922.54","77,084.40",-100.00,"161,363,230.00"
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW21,ROW30,ROW36)",3.02,0.0775,1.6020,0.0954,1.5767,0.81,0.30,-0.01,0.10,1.01,-0.20,0.08,-1.23,-1.63,#N/A,100.00,43.65,2.03,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW21,ROW26,ROW30)",2.87,0.0772,1.5979,0.0898,1.5550,0.72,0.24,0.31,0.74,0.55,-0.39,-0.21,-1.11,-1.50,#N/A,100.00,44.55,2.14,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW30,ROW36)",3.11,0.0763,1.5792,0.0952,1.5349,0.82,0.24,-0.16,0.49,0.62,0.40,0.18,-1.51,-1.79,#N/A,100.00,43.14,2.16,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW30)",3.56,0.0752,1.5555,0.0876,1.5159,0.41,0.38,-0.13,0.91,1.29,-0.02,-0.32,-0.91,-2.24,#N/A,100.00,43.48,2.49,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW30)",3.18,0.0726,1.5039,0.0890,1.5132,0.03,0.51,0.68,0.00,1.26,-0.20,0.07,-1.04,-1.86,#N/A,100.00,43.01,2.53,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW21,ROW30)",3.02,0.0745,1.5407,0.0897,1.5058,0.82,0.13,-0.31,1.25,0.70,0.14,-1.02,-0.62,-1.70,#N/A,100.00,43.76,2.33,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW26,ROW30,ROW36)",3.34,0.0829,1.7146,0.0954,1.4974,0.58,1.40,-0.04,0.16,0.03,0.42,0.07,-1.17,-2.05,#N/A,100.00,44.62,1.85,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW26,ROW30)",3.18,0.0792,1.6383,0.0890,1.4823,0.47,0.31,0.45,1.02,0.58,-0.10,-0.20,-1.16,-1.89,#N/A,100.00,44.87,2.12,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW21,ROW30,ROW36)",2.88,0.0776,1.6066,0.0950,1.4786,1.09,0.13,0.17,0.26,0.27,0.36,-0.47,-0.83,-1.62,#N/A,100.00,43.34,2.07,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW30)",3.25,0.0726,1.5023,0.0887,1.4708,0.31,0.31,0.81,0.10,0.79,-0.04,0.01,-0.90,-1.98,#N/A,100.00,43.30,2.50,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW9)",2.69,0.0567,1.1378,0.0904,1.4686,0.37,0.53,0.04,0.62,0.39,0.24,-0.07,0.50,-1.46,-2.40,92.86,40.19,2.93,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW21,ROW26,ROW30,ROW36)",2.74,0.0804,1.6636,0.0959,1.4622,0.91,0.56,-0.24,0.62,0.52,-0.09,-0.05,-1.37,-1.51,#N/A,100.00,44.34,1.88,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9)",2.87,0.0567,1.1363,0.0913,1.4615,0.28,0.85,-0.54,1.02,0.20,0.37,0.00,0.56,-1.63,-2.40,92.86,40.18,2.90,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12)",3.10,0.0576,1.1531,0.0910,1.4484,0.37,0.14,0.18,0.94,0.66,0.51,-0.26,0.46,-1.91,-2.40,92.86,40.00,2.91,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW21,ROW30,ROW36)",2.83,0.0785,1.6246,0.0956,1.4432,1.13,-0.01,0.04,0.68,0.13,0.14,0.03,-1.15,-1.59,#N/A,100.00,44.02,2.04,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW9,ROW21,ROW30,ROW36)",2.95,0.0779,1.6128,0.0951,1.4406,1.13,0.40,-0.23,0.37,0.24,0.27,-0.33,-0.77,-1.75,#N/A,100.00,43.62,2.08,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9)",2.87,0.0585,1.1715,0.0901,1.4213,0.32,0.54,0.09,0.86,0.45,0.57,-0.04,0.13,-1.70,-2.40,92.86,40.01,2.92,1.00,100.00
IQS Decile,3.26,0.0372,0.6502,0.1013,1.4039,0.65,0.82,0.95,0.51,0.21,-1.73,-2.37,0.84,-3.31,-1.00,68.52,37.73,3.11,10.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW26,ROW30,ROW36)",3.37,0.0806,1.6668,0.0926,1.4002,0.25,1.28,0.48,0.03,0.35,0.05,0.48,-1.31,-2.15,#N/A,100.00,44.15,2.07,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW21,ROW26,ROW30,ROW36)",2.71,0.0797,1.6497,0.0950,1.3981,1.28,0.30,-0.20,0.66,0.18,0.01,0.15,-1.33,-1.55,#N/A,100.00,43.99,1.93,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW21,ROW26,ROW30,ROW36)",3.18,0.0815,1.6851,0.0943,1.3955,0.92,0.86,0.00,0.31,0.34,0.08,-0.01,-1.00,-1.99,#N/A,100.00,44.20,1.91,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW21,ROW26,ROW30)",2.88,0.0779,1.6123,0.0892,1.3717,0.55,0.25,0.95,0.86,0.27,-0.23,-0.96,-0.37,-1.69,#N/A,100.00,45.00,2.15,1.00,100.00
% Tgt Average,2.20,0.0485,0.8723,0.0917,1.3641,0.84,0.42,0.91,1.46,0.44,-0.24,1.06,0.21,-1.07,-1.67,75.23,"4,095.61","26,262.46",-100.00,"53,788,544.00"
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW21,ROW30,ROW36)",2.99,0.0797,1.6494,0.0947,1.3533,1.30,0.26,-0.33,0.84,0.18,0.15,-0.06,-0.97,-1.84,#N/A,100.00,43.50,2.05,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW26,ROW30)",2.95,0.0755,1.5612,0.0875,1.3452,0.36,0.45,0.54,0.90,0.46,0.20,-1.10,-0.42,-1.85,#N/A,100.00,44.67,2.30,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW26,ROW30)",2.98,0.0749,1.5494,0.0882,1.3381,0.80,0.48,0.17,0.42,1.09,-0.33,-0.02,-1.16,-1.85,#N/A,100.00,44.25,2.30,1.00,100.00
